est_res_pop_erp, occ_rt_pr100, vifsa_code, ogc_fid, p_occ_priv_dwl_popd, year, avg_hsld_size
40161,93.2,"VIFSA.20830.10",63,39728,"2021",2.4
14157,85.6,"VIFSA.20830.20",68,14032,"2021",2.35
50164,96.4,"VIFSA.21110.10",93,49326,"2021",2.65
57254,95.1,"VIFSA.21110.20",98,56725,"2021",2.66
43932,94.2,"VIFSA.21110.30",103,42720,"2021",2.2
34588,95.3,"VIFSA.21110.40",108,33431,"2021",2.48
111995,96.7,"VIFSA.21180.10",113,111120,"2021",2.84
98927,96.9,"VIFSA.21180.20",118,98255,"2021",2.74
27568,97.3,"VIFSA.21450.10",148,27278,"2021",2.65
9034,98.5,"VIFSA.21450.20",153,8959,"2021",2.6
81391,94.2,"VIFSA.21450.30",158,81083,"2021",2.81
117953,97.8,"VIFSA.21610.10",163,116879,"2021",2.83
172897,92.7,"VIFSA.21610.20",168,170843,"2021",2.91
50351,96.9,"VIFSA.21610.30",173,49630,"2021",2.86
7905,97.2,"VIFSA.21610.40",178,7905,"2021",2.62
81265,95.9,"VIFSA.22170.10",248,80088,"2021",2.29
74461,96.5,"VIFSA.20660.10",43,73097,"2021",2.49
58825,97.7,"VIFSA.20660.20",48,58085,"2021",2.5
11527,41.6,"VIFSA.20740.10",53,11339,"2021",2.17
25463,71.2,"VIFSA.20740.20",58,25089,"2021",2.18
42971,95.9,"VIFSA.20910.10",73,41947,"2021",2.49
64595,96.5,"VIFSA.20910.20",78,64079,"2021",2.48
68794,97.0,"VIFSA.22670.10",313,67521,"2021",2.73
42995,91.1,"VIFSA.22750.20",328,41942,"2021",2.36
58054,95.2,"VIFSA.21890.10",218,57541,"2021",2.3
109130,95.7,"VIFSA.21890.20",223,105867,"2021",2.48
61210,97.6,"VIFSA.22170.20",253,60721,"2021",2.59
10652,93.3,"VIFSA.22750.40",338,10511,"2021",2.33
55272,97.3,"VIFSA.22310.10",263,54859,"2021",2.61
9138,75.7,"VIFSA.22910.20",383,9009,"2021",2.04
61246,94.3,"VIFSA.23110.10",393,60421,"2021",2.47
37336,95.9,"VIFSA.23110.20",398,37037,"2021",2.46
100715,96.7,"VIFSA.22310.20",268,99383,"2021",2.38
41323,95.6,"VIFSA.23270.30",423,40910,"2021",2.58
56968,95.8,"VIFSA.23430.10",438,56432,"2021",2.43
108110,96.6,"VIFSA.23430.20",443,106799,"2021",2.45
71880,97.2,"VIFSA.23670.10",448,70632,"2021",2.42
42245,96.4,"VIFSA.23670.20",453,42172,"2021",2.83
49975,97.1,"VIFSA.23670.30",458,49300,"2021",2.61
25102,95.7,"VIFSA.24130.10",493,24822,"2021",2.62
10184,90.9,"VIFSA.24130.20",498,9873,"2021",2.28
14312,94.0,"VIFSA.24130.30",503,14277,"2021",2.58
101492,95.0,"VIFSA.24210.10",508,100109,"2021",2.62
100862,95.7,"VIFSA.22670.20",318,99722,"2021",2.87
27019,97.2,"VIFSA.24210.20",513,26602,"2021",2.78
8719,55.3,"VIFSA.24250.10",518,8026,"2021",2.19
101342,93.5,"VIFSA.24330.10",523,99823,"2021",2.48
49616,72.5,"VIFSA.22750.10",323,49105,"2021",2.36
67793,96.5,"VIFSA.24410.10",528,66553,"2021",2.45
51355,97.2,"VIFSA.24410.20",533,50559,"2021",2.46
36410,92.6,"VIFSA.24850.10",578,36079,"2021",2.68
10665,87.7,"VIFSA.24850.20",583,10288,"2021",2.26
13539,90.7,"VIFSA.22750.30",333,13102,"2021",2.13
59577,94.2,"VIFSA.25250.10",638,58819,"2021",2.21
78545,95.4,"VIFSA.25250.20",643,77810,"2021",2.5
49615,96.2,"VIFSA.25250.30",648,48767,"2021",2.64
56547,52.9,"VIFSA.25340.10",653,55799,"2021",2.18
41882,91.4,"VIFSA.25340.20",658,40739,"2021",2.42
65960,92.5,"VIFSA.25340.30",663,64846,"2021",2.44
7692,83.5,"VIFSA.25620.20",693,7656,"2021",2.3
30364,98.1,"VIFSA.25710.10",698,30153,"2021",2.67
8885,96.0,"VIFSA.25710.20",703,8881,"2021",2.76
20518,91.4,"VIFSA.22750.50",343,20404,"2021",2.25
24931,98.7,"VIFSA.25710.30",708,24711,"2021",2.86
2995,48.5,"VIFSA.26080.10",743,2954,"2021",2.07
9095,87.0,"VIFSA.26170.10",748,8991,"2021",2.39
11421,88.9,"VIFSA.26170.20",753,11247,"2021",2.36
7961,51.2,"VIFSA.26170.30",758,7885,"2021",2.08
46020,97.4,"VIFSA.26350.10",773,45459,"2021",2.44
22303,78.1,"VIFSA.26490.20",793,22197,"2021",2.62
66953,93.1,"VIFSA.22750.60",348,65355,"2021",2.46
19790,99.0,"VIFSA.22750.70",353,18720,"2021",2.59
29183,92.5,"VIFSA.22750.80",358,28623,"2021",2.33
57336,97.0,"VIFSA.26980.10",858,56296,"2021",2.54
67513,92.8,"VIFSA.26980.20",863,66280,"2021",2.53
53221,96.6,"VIFSA.26980.30",868,52719,"2021",2.57
145538,91.0,"VIFSA.27070.10",873,143663,"2021",2.97
74360,95.0,"VIFSA.23270.10",413,73782,"2021",2.86
112969,92.0,"VIFSA.23270.20",418,112570,"2021",3.18
47749,95.6,"VIFSA.27070.20",878,47604,"2021",2.76
47111,94.7,"VIFSA.27070.30",883,46606,"2021",2.72
122452,94.2,"VIFSA.27260.10",893,121137,"2021",2.99
73305,91.8,"VIFSA.27260.20",898,72804,"2021",2.99
71600,97.9,"VIFSA.27260.30",903,70956,"2021",2.68
67628,94.9,"VIFSA.27350.10",908,65806,"2021",2.17
36202,91.6,"VIFSA.27350.20",913,35713,"2021",2.08
29077,95.5,"VIFSA.27450.10",918,29042,"2021",2.58
13686,98.3,"VIFSA.27450.20",923,13531,"2021",2.43
82481,97.9,"VIFSA.27450.30",928,81539,"2021",2.56
14240,97.3,"VIFSA.27450.40",933,14237,"2021",2.68
57255,81.4,"VIFSA.24600.10",538,54834,"2021",1.76
221,57.2,"VIFSA.27450.50",938,206,"2021",2.43
16616,93.7,"VIFSA.27450.60",943,16495,"2021",2.39
787,54.5,"VIFSA.29399.10",953,747,"2021",2.21
48813,82.2,"VIFSA.24600.20",543,47471,"2021",1.94
70943,85.7,"VIFSA.24600.30",548,64587,"2021",2.04
86926,95.9,"VIFSA.24650.10",553,86557,"2021",3.02
42065,97.2,"VIFSA.24650.20",558,41939,"2021",2.67
42040,92.9,"VIFSA.24650.30",563,39131,"2021",2.67
56327,95.3,"VIFSA.24970.10",598,54044,"2021",2.63
86566,97.0,"VIFSA.24970.20",603,85217,"2021",2.7
56944,96.0,"VIFSA.24970.30",608,56473,"2021",2.63
44191,95.1,"VIFSA.25060.10",613,43514,"2021",2.53
85698,93.7,"VIFSA.25060.20",618,84851,"2021",2.42
23831,98.4,"VIFSA.25150.10",623,23688,"2021",2.55
6598,86.6,"VIFSA.25150.20",628,6523,"2021",2.39
5703,90.4,"VIFSA.25150.30",633,5682,"2021",2.44
8252,81.1,"VIFSA.25430.20",673,8166,"2021",2.15
6612,69.0,"VIFSA.25620.10",688,6482,"2021",2.13
54170,91.2,"VIFSA.25900.10",723,53030,"2021",2.05
64733,93.2,"VIFSA.25900.20",728,62659,"2021",1.85
74686,91.0,"VIFSA.26350.20",778,73565,"2021",1.97
